	Response ID	Date submitted	Last page	Start language	Seed	Date started	Date last action	IP address	What is the domain of the website?	Is the website accessible from the current region?	Does the website show a consent notice?	In what language has the website been written?	In what language has the website been written? [Other]	Does the consent notice present... [...an 'accept all' option?]	Does the consent notice present... [...a 'reject all' option?]	Does the consent notice present... [conditional terms (may, might, or could)?]	Does the consent notice present... [a visibly highlighted link to the privacy/cookie policy?]	Are the 'accept all' and 'reject all' options... [...displayed using the same type of form element?]	Are the 'accept all' and 'reject all' options... [...shown at the same level of the consent notice?]	Is a form element highlighted? If so, is it the one for the most restrictive option?	Is a form element highlighted? If so, is it the one for the most restrictive option? [Comment]	Please copy the text of the consent notice.	What is the font size (in pixels) of the text in the consent notice? 	Where is the following information provided? [the purposes for which cookies are being stored]	Where is the following information provided? [the expiration date of cookies]	Where is the following information provided? [the fact that information is shared with third parties/partners]	Where is the following information provided? [links to privacy policies of third parties]	Where is the following information provided? [the identity of the controller]	Where is the following information provided? [the legal basis for processing]	Does the cookie policy contain the cookies which are being stored by the website?	Does the cookie policy contain the cookies which are being stored by the website? [Comment]	Does the consent notice inform the user of their right to withdraw consent?	Does the consent notice inform the user of their right to withdraw consent? [Comment]	Can consent be given separately for each purpose?	Can consent be given separately for each purpose? [Comment]	Is consent combined with the terms of service?	Are any boxes in the consent notice pre-selected?	Is legitimate interest used as a legal basis for storing non-necessary cookies?	Are the numbers of clicks needed to accept &amp; reject consent equal?	Does the consent notice produce a visual effect when interacted with?	Does the consent notice produce a visual effect when interacted with? [Comment]	Is the site accessible without providing consent?	Is the site accessible without providing consent? [Comment]	Can consent be withdrawn through the same electronic interface?	Can consent be withdrawn through the same electronic interface? [Comment]	Do you want to mention anything else?	Total time	Group time: Website information	Question time: G1Q00001	Question time: G1Q00002	Question time: G1Q00003	Question time: G1Q00004	Group time: Consent notice - first level	Question time: G02Q29	Question time: G02Q28	Question time: G2Q00002	Question time: G2Q00005	Question time: G2Q00006	Group time: Consent notice &amp; legal documents – in-depth analysis	Question time: G03Q29	Question time: G3Q00006	Question time: G3Q00007	Question time: G3Q00009	Question time: G3Q00010	Question time: G3Q00012	Question time: G3Q00013	Group time: Acceptance/rejection of consent	Question time: G3Q00011	Question time: G3Q00014	Question time: G3Q00016	Group time: Withdrawal of consent	Question time: G3Q00015	Group time: Extra information	Question time: G3Q00017	Please copy the translated (English-language) text of the consent notice.
393	412	2024-04-22 20:14:56	1.0	en	371546098.0	2024-04-22 20:06:27	2024-04-22 20:14:56	2a02:a459:1240:1:30d2:c017:293c:fb23	irs.gov	Yes	No	English												privacy policy(or cookie policy)	nowhere	nowhere	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			508.53																												
394	413	2024-04-22 20:16:00	1.0	en		2024-04-22 20:15:00	2024-04-22 20:16:00	2a02:a459:1240:1:30d2:c017:293c:fb23	footlocker.ca	No																																				There is a redirect to footlocker.eu, which explicitly mentions the US site is inaccessible from Europe.	24.3																												
395	414	2024-04-22 20:23:23	1.0	en	1099786639.0	2024-04-22 20:19:49	2024-04-22 20:23:23	2a02:a459:1240:1:30d2:c017:293c:fb23	drivebc.ca	Yes	No	English												privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			213.91																												
396	415	2024-04-22 20:34:29	1.0	en	74505497.0	2024-04-22 20:24:31	2024-04-22 20:34:29	2a02:a459:1240:1:30d2:c017:293c:fb23	next.co.uk	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	no form element highlighted		"Cookies help us to ensure our site works securely, continually make improvements, and personalise your shopping experience.

Click ‘Accept All Cookies’ to get the best shopping experience. You can change these settings at any time by clicking ‘Manually Manage Cookies’ below.

For more information, please see our Privacy & Cookie Policy."	15.0	consent notice	consent notice	consent notice	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is missing		each checkbox refers to one purpose		No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			598.86																												"Cookies help us to ensure our site works securely, continually make improvements, and personalise your shopping experience.

Click ‘Accept All Cookies’ to get the best shopping experience. You can change these settings at any time by clicking ‘Manually Manage Cookies’ below.

For more information, please see our Privacy & Cookie Policy."
397	416	2024-04-22 20:59:29	1.0	en	926968573.0	2024-04-22 20:51:59	2024-04-22 20:59:29	2a02:a459:1240:1:30d2:c017:293c:fb23	thedailybeast.com	Yes	Yes	English		Yes	Yes	No	No	Yes	Yes	no form element highlighted		"We and our 228 partners store and/or access information on a device, such as unique IDs in cookies to process personal data. You may accept or manage your choices by clicking below, including your right to object where legitimate interest is used, or at any time in the privacy policy page. These choices will be signaled to our partners and will not affect browsing data.

We and our partners process data to provide:
Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development."	13.008	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	Targeting and analytics seem combined into one purpose.	Yes	Yes	Yes	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website		"A conditional term is used in the consent notice, but not in a problematic context: ""You may accept or manage your choices by clicking below..."""	449.04																												"We and our 228 partners store and/or access information on a device, such as unique IDs in cookies to process personal data. You may accept or manage your choices by clicking below, including your right to object where legitimate interest is used, or at any time in the privacy policy page. These choices will be signaled to our partners and will not affect browsing data.

We and our partners process data to provide:
Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development."
398	417	2024-04-22 21:09:27	1.0	en	1641965030.0	2024-04-22 21:00:11	2024-04-22 21:09:27	2a02:a459:1240:1:30d2:c017:293c:fb23	justia.com	Yes	Yes	English		Yes	No	No	Yes					We use cookies to improve the experience of our website. By continuing to use our website, you consent to the use of cookies. To understand more about how we use cookies, please see our Privacy Policy.	15.0	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	nowhere	nowhere	categories of cookies mentioned		information is missing		at least one checkbox refers to multiple purposes		Yes	Yes	No	No	visual effect occurs on-screen		other differences in functionality	It is not possible to reject consent.	consent should be withdrawn through the browser settings			556.47																												We use cookies to improve the experience of our website. By continuing to use our website, you consent to the use of cookies. To understand more about how we use cookies, please see our Privacy Policy.
399	418	2024-04-22 21:12:29	1.0	en	52185148.0	2024-04-22 21:12:23	2024-04-22 21:12:29	2a02:a459:1240:1:30d2:c017:293c:fb23	ky.gov	No																																					6.84																												
400	419	2024-04-22 21:22:00	1.0	en	1332807231.0	2024-04-22 21:14:14	2024-04-22 21:22:00	2a02:a459:1240:1:30d2:c017:293c:fb23	usatoday.com	Yes	Yes	English		Yes	Yes	Yes	Yes	Yes	Yes	no form element highlighted		"Clicking on the ""Reject All"" Button retains the default setting of only strictly necessary cookies.We and our 71 partners store and/or access information on a device, such as unique IDs in cookies to process personal data. You may accept or manage your choices by clicking below, including your right to object where legitimate interest is used, or at any time in the privacy policy page. These choices will be signaled to our partners and will not affect browsing data.For more information about how we use your data visit our Privacy Policy.

If you click ""Accept All"", we and our partners may process personal data for the following purposes:
Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development."	11.382	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website		There is a toggle labeled 'Opt Out by Cookie Category', but it is not clear to me what it does. The text in this part seems boilerplate, and I have not considered it here. The only interesting third-party vendor listed under this category was Google Tag Manager (and possibly polyfill.io).	465.84																												"Clicking on the ""Reject All"" Button retains the default setting of only strictly necessary cookies.We and our 71 partners store and/or access information on a device, such as unique IDs in cookies to process personal data. You may accept or manage your choices by clicking below, including your right to object where legitimate interest is used, or at any time in the privacy policy page. These choices will be signaled to our partners and will not affect browsing data.For more information about how we use your data visit our Privacy Policy.

If you click ""Accept All"", we and our partners may process personal data for the following purposes:
Use precise geolocation data. Actively scan device characteristics for identification. Store and/or access information on a device. Personalised advertising and content, advertising and content measurement, audience research and services development."
401	420	2024-04-22 21:30:46	1.0	en	862227689.0	2024-04-22 21:24:24	2024-04-22 21:30:46	2a02:a459:1240:1:30d2:c017:293c:fb23	rte.ie	Yes	Yes	English		Yes	No	No	Yes			form element other than most restrictive highlighted		"RTÉ.ie uses cookies to allow us to better understand our users. The stored information will not normally identify you directly. You can choose not to allow some types of cookies below but please be aware that this may impact your experience of the site and the services that we can offer.
For more information read our Cookie Policy and our Privacy Policy."	12.992	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is missing		each checkbox refers to one purpose		No	No	No	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website		We have given the second-level text of the consent notice here.	381.41																												"RTÉ.ie uses cookies to allow us to better understand our users. The stored information will not normally identify you directly. You can choose not to allow some types of cookies below but please be aware that this may impact your experience of the site and the services that we can offer.
For more information read our Cookie Policy and our Privacy Policy."
402	421	2024-04-23 12:25:55	1.0	en	2081569106.0	2024-04-23 12:15:00	2024-04-23 12:25:54	2a02:a459:1240:1:9c6a:dc55:3cd6:6541	postoffice.co.uk	Yes	Yes	English		Yes	Yes	No	No	Yes	Yes	no form element highlighted		Our website uses small bits of data (known as cookies) to make the website work, remember who you are, personalise content and provide a safer experience on our site. Some of these cookies are essential for the website to function while others can be switched on or off. By clicking “Accept all” you agree to the uses explained in our Cookies Notice. If you click “Reject all” we’ll block all non-essential cookies but those crucial to the website’s operation will still be used. To set your cookie preferences, click “Let me choose”.	18.0	consent notice	nowhere	consent notice	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned		information is missing		at least one checkbox refers to multiple purposes	Marketing and social networks are combined into one purpose.	No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			654.0																												Our website uses small bits of data (known as cookies) to make the website work, remember who you are, personalise content and provide a safer experience on our site. Some of these cookies are essential for the website to function while others can be switched on or off. By clicking “Accept all” you agree to the uses explained in our Cookies Notice. If you click “Reject all” we’ll block all non-essential cookies but those crucial to the website’s operation will still be used. To set your cookie preferences, click “Let me choose”.
403	422	2024-04-23 12:51:26	1.0	en	432390054.0	2024-04-23 12:46:16	2024-04-23 12:51:26	2a02:a459:1240:1:9c6a:dc55:3cd6:6541	ctvnews.ca	Yes	No	English												nowhere	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	no information present						Yes		No						there is no method to withdraw consent		The privacy policy does not even include the word 'cookie'.	309.89																												
404	423	2024-04-23 13:53:16	1.0	en	1473125484.0	2024-04-23 13:44:52	2024-04-23 13:53:16	2a02:a459:1240:1:9c6a:dc55:3cd6:6541	revenue.ie	Yes	No	English												privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned						No		No						consent can be withdrawn through the website		This is one of the rare websites which does not have a consent notice, but does have options available for opting in to cookies.	504.94																												
405	424	2024-04-23 14:05:11	1.0	en	732142308.0	2024-04-23 13:56:30	2024-04-23 14:05:11	2a02:a459:1240:1:9c6a:dc55:3cd6:6541	aktualne.cz	Yes	Yes	Czech		Yes	Yes	Yes	No	Yes	No	form element other than most restrictive highlighted		"Na těchto webových stránkách se používají soubory cookies a další síťové identifikátory, které mohou také sloužit ke zpracování dalších osobních údajů (např. jak procházíte naše stránky, jaký obsah Vás zajímá a také volby, které provedete pomocí tohoto okna). My a naši partneři máme k těmto údajům ve Vašem zařízení přístup nebo je ukládáme. Tyto údaje nám pomáhají provozovat a zlepšovat naše služby. Můžeme Vám také doporučovat obsah a zobrazovat reklamu na základě Vašich preferencí. Pro některé účely zpracování takto získaných údajů je vyžadován Váš souhlas. Svůj souhlas můžete kdykoliv změnit nebo odvolat na této stránce (vyvolejte znovu okno a nastavte své preference). V případě, že se rozhodnete souhlas neudělit či jej odvoláte, nebudeme Vám moci doručovat personalizovaný obsah a/nebo se Vám bude zobrazovat méně relevantní reklama. Některé údaje zpracováváme na základě tzv. oprávněného zájmu. Vznést námitku proti zpracování na základě oprávněného zájmu a provést další nastavení soukromí můžete v sekci ""Podrobné nastavení"". Vámi provedené nastavení se použije pro webové stránky provozovatele tohoto webu a ostatních vydavatelů sdružení CPEx. Nebudete tak muset provádět volbu pro každého provozovatele zvlášť.

Podívejte se na našich 123 partnerů
My a naši partneři zpracováváme údaje následujícím způsobem:
Personalizovaná reklama a obsah, měření reklam a obsahu, průzkum publika a rozvoj služeb , Technický provoz stránek, Ukládání a/nebo přístup k informacím v zařízení , Zpracování údajů vydavateli a dalšími partnery"	13.0	consent notice	consent notice	consent notice	consent notice	consent notice	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			520.98																												This website uses cookies and other network identifiers that can also be used to process additional personal data (e.g. how you browse our site, what content you are interested in and also the choices you make through this window). We and our partners can access or withdraw your consent on your device at any time. These data can also help us to operate and improve our services. We can also recommend content and display advertising based on your preferences. For some purposes of processing this data, your consent is required. You and our partners can change or withdraw your consent on this site at any time (by re-calling the window and setting your partner preferences). If you choose to not share content and set up advertising data based on your preferences, we may not be able to deliver personalized content and/or display less advertising.
406	425	2024-04-23 14:08:34	1.0	en	2114782729.0	2024-04-23 14:05:27	2024-04-23 14:08:34	2a02:a459:1240:1:9c6a:dc55:3cd6:6541	dvla.gov.uk	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	no form element highlighted		"We use some essential cookies to make this website work.

We’d like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.

We also use cookies set by other sites to help us deliver content from their services."	19.0	consent notice	privacy policy(or cookie policy)	consent notice	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is given on different level of notice		each checkbox refers to one purpose		No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			187.23																												"We use some essential cookies to make this website work.

We’d like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services.

We also use cookies set by other sites to help us deliver content from their services."
407	426	2024-04-23 15:35:03	1.0	en	877747472.0	2024-04-23 15:28:37	2024-04-23 15:35:03	2a02:a459:1240:1:9c6a:dc55:3cd6:6541	bmf.gv.at	Yes	No	German												nowhere	nowhere	nowhere	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	no information present						No		No						there is no method to withdraw consent			386.92																												
408	427	2024-04-23 15:50:00	1.0	en		2024-04-23 15:38:00	2024-04-23 15:50:00	2a02:a459:1240:1:9c6a:dc55:3cd6:6541	birmingham.gov.uk	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	no form element highlighted		"Some of these cookies are essential, while others help us to improve your experience by providing insights into how the site is being used.

For more information visit our privacy and cookies statement

Necessary Cookies
Necessary cookies enable core functionality such as page navigation and access to secure areas. The website cannot function properly without these cookies, and can only be disabled by changing your browser preferences.

Analytical Cookies
We use Google Analytics to collect information about how you use our website. We do this to help make sure the site is meeting the needs of its users and to help us make improvements."	16.0	consent notice	nowhere	consent notice	consent notice	privacy policy(or cookie policy)	nowhere	individual cookies mentioned		information is missing		each checkbox refers to one purpose		No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website		"The link to the privacy/cookie policy could be more clearly highlighted, but is is clear where the link is due to a 'new window'-like icon being displayed next to it.

The privacy policy sometimes seems to list requirements posed by the law instead of making it concrete how the organization is complying with those requirements (e.g. a list of all legal bases is given instead of concrete information on what basis is being used for what purpose).

The boxes in the consent notice are such that they initially looked like they were pre-selected, even though they were not. (A non-selected box had a black background, whereas filled boxes are sometimes used to indicate that a box is selected.)"	691.16																												"Some of these cookies are essential, while others help us to improve your experience by providing insights into how the site is being used.

For more information visit our privacy and cookies statement

Necessary Cookies
Necessary cookies enable core functionality such as page navigation and access to secure areas. The website cannot function properly without these cookies, and can only be disabled by changing your browser preferences.

Analytical Cookies
We use Google Analytics to collect information about how you use our website. We do this to help make sure the site is meeting the needs of its users and to help us make improvements."
409	428	2024-04-23 16:39:48	1.0	en	79133408.0	2024-04-23 16:31:06	2024-04-23 16:39:48	2a02:a459:1240:1:9c6a:dc55:3cd6:6541	yle.fi	Yes	Yes	English		Yes	Yes	No	Yes	Yes	Yes	no form element highlighted		Yle uses cookies to provide a better user experience and a personalised service. By consenting to the use of cookies, we can develop an even better service and will be able to provide content that is interesting to you. You are in control of your cookie preferences, and you may change them at any time through the main navigation bar. Read more about our cookies	16.0	consent notice	privacy policy(or cookie policy)	consent notice	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	individual cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	Social media cookies may also be used by the social networks for their own purposes.	No	No	No	Yes	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website		"The website is primarily available in Finnish (and Swedish), but we access the English-language version of the consent notice and the privacy policy.

Conditional terms are used in the consent notice, but not in a problematic context: ""You are in control of your cookie preferences, and you may change them at any time..."""	522.7																												Yle uses cookies to provide a better user experience and a personalised service. By consenting to the use of cookies, we can develop an even better service and will be able to provide content that is interesting to you. You are in control of your cookie preferences, and you may change them at any time through the main navigation bar. Read more about our cookies
410	429	2024-04-23 18:28:42	1.0	en	629745786.0	2024-04-23 18:24:31	2024-04-23 18:28:42	2a02:a459:1240:1:c4f5:63f2:b95:ca05	fcc.gov	Yes	No	English												privacy policy(or cookie policy)	nowhere	nowhere	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			251.31																												
411	430	2024-04-23 18:37:33	1.0	en	1511528043.0	2024-04-23 18:29:05	2024-04-23 18:37:33	2a02:a459:1240:1:c4f5:63f2:b95:ca05	marica.bg	Yes	Yes	Bulgarian		Yes	No	Yes	No			form element other than most restrictive highlighted		"Управление на Вашата дигитална поверителност:
perm_identity
Персонализирана реклама и съдържание, измерване на рекламата и съдържанието, проучване на аудиторията и разработване на услуги
devices
Съхраняване на и/или достъп до информация на устройство

remove
Научете повече
Как мога да променя избора си?
Какво ще стане, ако не дам съгласието си?
Какво представлява легитимният интерес?
Трябва ли да се съглася с всичко?
Личните ви данни ще се обработват и информацията от устройството ви („бисквитки“, уникални идентификатори и други данни от него) може да бъде съхранявана и използвана от 139 доставчик или съответно доставчика в TCF и 64 рекламни партньора и споделяна с тях или използвана конкретно от този сайт или приложение.

Някои доставчици може да обработват личните ви данни въз основа на законен интерес. Можете да промените това от бутона за управление на опциите по-долу. Потърсете връзка в долната част на тази страница, за да управлявате или оттеглите съгласието си в настройките за поверителност и за „бисквитките“."	12.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			508.56																												Managing Your Digital Privacy: perm_identity Personalized Advertising and Content, Advertising and Content Measurement, Audience Survey and Services Development devices Storage and/or access to device information remove Learn More How can I change my choice? What if I don’t give my consent? What is the legitimate interest? Should I agree to everything? Your personal data will be processed and your device information (“cookies”, unique identifiers and other data from it) can be stored and used by 139 providers or providers in TCF and 64 advertising partners respectively and shared with them or specifically used by this site or application. Some providers can process your personal data based on legitimate interests. You can change this from the control button for updates.
412	431	2024-04-23 18:38:27	1.0	en	854080983.0	2024-04-23 18:38:20	2024-04-23 18:38:27	2a02:a459:1240:1:c4f5:63f2:b95:ca05	state.mi.us	No																																					6.12																												
413	432	2024-04-23 19:17:33	1.0	en	211206399.0	2024-04-23 19:10:11	2024-04-23 19:17:33	2a02:a459:1240:1:c4f5:63f2:b95:ca05	dailyhive.com	Yes	Yes	English		Yes	Yes	Yes	No	Yes	Yes	no form element highlighted		"Daily Hive asks for your consent to use your personal data to:
perm_identity
Personalised advertising and content, advertising and content measurement, audience research and services development
devices
Store and/or access information on a device

remove
Learn more
How can I change my choice?
What if I don't consent?
How does legitimate interest work?
Do I have to consent to everything?
Your personal data will be processed and information from your device (cookies, unique identifiers, and other device data) may be stored by, accessed by and shared with 137 TCF vendor(s) and 62 ad partner(s), or used specifically by this site or app.

Some vendors may process your personal data on the basis of legitimate interest, which you can object to by managing your options below. Look for a link at the bottom of this page to manage or withdraw consent in privacy and cookie settings."	12.0	consent notice	consent notice	consent notice	consent notice	privacy policy(or cookie policy)	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	Yes	visual effect occurs on-screen		no difference in functionality		there is no method to withdraw consent	The privacy policy contains an unclear reference to 'Using DH' for instructions on how to reject/withdraw cookie usage.	Due to issues presented by Cloudflare CAPTCHAs, cookies were not stored for this website.	441.49																												"Daily Hive asks for your consent to use your personal data to:
perm_identity
Personalised advertising and content, advertising and content measurement, audience research and services development
devices
Store and/or access information on a device

remove
Learn more
How can I change my choice?
What if I don't consent?
How does legitimate interest work?
Do I have to consent to everything?
Your personal data will be processed and information from your device (cookies, unique identifiers, and other device data) may be stored by, accessed by and shared with 137 TCF vendor(s) and 62 ad partner(s), or used specifically by this site or app.

Some vendors may process your personal data on the basis of legitimate interest, which you can object to by managing your options below. Look for a link at the bottom of this page to manage or withdraw consent in privacy and cookie settings."
414	433	2024-04-23 19:26:19	1.0	en	838463124.0	2024-04-23 19:20:22	2024-04-23 19:26:19	2a02:a459:1240:1:c4f5:63f2:b95:ca05	va.gov	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings			356.66																												
415	434	2024-04-23 19:35:32	1.0	en	1316021202.0	2024-04-23 19:27:38	2024-04-23 19:35:32	2a02:a459:1240:1:c4f5:63f2:b95:ca05	gazeta.pl	Yes	Yes	Polish		Yes	No	No	Yes			form element other than most restrictive highlighted		"Droga Użytkowniczko, Drogi Użytkowniku, jeśli wyrazisz zgodę klikając „Akceptuję”, Gazeta.pl sp. z o.o. oraz jej Zaufani Partnerzy, w tym [368] Zaufanych Partnerów IAB będą przetwarzać Twoje dane osobowe takie jak adresy IP, adresy e-mail czy identyfikatory plików cookie do celów marketingowych, w szczególności na potrzeby wyświetlania reklam dopasowanych do Twoich zainteresowań i preferencji w swoich serwisach, aplikacjach i w Internecie. Wyrażenie zgody jest dobrowolne. Jeśli nie chcesz wyrazić zgody, chcesz ograniczyć jej zakres lub chcesz wycofać zgodę uprzednio udzieloną przejdź do „Ustawień Zaawansowanych”. Jeśli podstawą przetwarzania Twoich danych jest uzasadniony interes administratora, masz prawo wyrazić sprzeciw, aby to zrobić przejdź do „Ustawień Zaawansowanych”. Więcej informacji znajdziesz w dokumenciePolityka Prywatności Gazeta.pl

Klikając „Akceptuję” zgadzasz się na korzystanie przez Gazeta.pl sp. z o.o. (wydawcę serwisów z Grupy Gazeta.pl od 1 kwietnia 2024 r.) z danych osobowych i innych informacji, w tym pochodzących z plików typu cookie, zebranych przed 1 kwietnia 2024 r. przez Agora S.A. (dotychczasowego wydawcę serwisów z Grupy Gazeta.pl) do celów marketingowych. Udzieloną zgodę masz prawo w każdej chwili wycofać. Po więcej informacji przejdź do „Ustawień Zaawansowanych”.

Poprzez kliknięcie „Akceptuję” wyrażasz zgodę na zainstalowanie i przechowywanie plików typu cookie Gazeta.pl sp. z o.o. oraz jej Zaufanych Partnerów na Twoim urządzeniu końcowym. Możesz w każdej chwili zmienić ustawienia plików cookie przechodząc do „Ustawień Zaawansowanych”. Zmiana ustawień plików cookie możliwa jest także za pomocą ustawień przeglądarki.

Możesz ponownie wywołać okno z funkcjonalnościami umożliwiającymi decydowanie o przetwarzaniu swoich danych osobowych lub o plikach cookie klikając przycisk „Ustawienia prywatności” znajdujący się w stopce serwisu.My oraz nasi Zaufani Partnerzy możemy przetwarzać dane osobowe w następujących celach:Użycie dokładnych danych geolokalizacyjnych. Aktywne skanowanie charakterystyki urządzenia do celów identyfikacji. Przechowywanie informacji na urządzeniu lub dostęp do nich. Spersonalizowane reklamy i treści, pomiar reklam i treści, badnie odbiorców i ulepszanie usług . Lista Zaufanych Partnerów"	16.0	consent notice	consent notice	consent notice	consent notice	consent notice	consent notice	individual cookies mentioned		information is given on first level of notice		each checkbox refers to one purpose		No	Yes	Yes	No	visual effect occurs on-screen		no difference in functionality		consent can be withdrawn through the website			473.97																												The purpose of the advertising and the processing of your personal data is also to the end of the advertising and the processing of your personal data. The purpose of the advertising and the processing of your personal data is also to the end of the advertising and the processing of each user’s personal information, if you click on the consent to the “Accept” or the “Accept” cookies for marketing purposes, in particular for the purpose of displaying advertisements tailored to your interests and preferences in its services, applications and the IAB Group’s trusted partners will process your personal data at the moment of consent is voluntary. If you do not wish to give consent, you will want to limit its scope or withdraw the consent of the previously granted cookie for marketing purposes, especially for the purpose of viewing “Advanced Settings”. If the basis for processing your
416	435	2024-04-23 19:40:54	1.0	en	168404946.0	2024-04-23 19:36:42	2024-04-23 19:40:54	2a02:a459:1240:1:c4f5:63f2:b95:ca05	walgreens.com	Yes	No	English												privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	privacy policy(or cookie policy)	nowhere	categories of cookies mentioned						No		No						consent should be withdrawn through the browser settings		"There seems to be some sort of consent notice not shown by default, but it does not handle cookies; instead, it is merely related to US opt-out rights.

Interestingly, the terms of service state the following: ""The Services are intended for use by users that reside in the U.S. and are 18 or older (or 13 or older, with the consent and involvement of a parent or guardian). If you are not the intended audience or you object to these Terms, you may not use our Services."" However, the service is accessible from the EU."	252.28																												
417	436	2024-04-24 08:51:00	1.0	en		2024-04-24 08:35:00	2024-04-24 08:51:00	2a02:a459:1240:1:c4f5:63f2:b95:ca05	lefigaro.fr	Yes	Yes	English		Yes	Yes	No	No	No	Yes	form element other than most restrictive highlighted		"We and our 268 partners use cookies or equivalent technology to store and/or access information on your device. Other partners use this personal information to present personalized advertising and content to you; to measure advertising and content performance and learn more about their audience; and to develop and improve their products. In order for some of these purposes to work, partners use your accurate location data.

To learn more, please read our privacy policy.

You can change your preferences at any time by clicking on the ""Cookie Settings"" link at the bottom of this site."	14.0	consent notice	privacy policy(or cookie policy)	consent notice	nowhere	privacy policy(or cookie policy)	privacy policy(or cookie policy)	categories of cookies mentioned		information is given on first level of notice		at least one checkbox refers to multiple purposes	I only see options to reject all/continue without accepting, but I do not see any option to give consent for separate purposes, at least in the initial consent notice. Going to the cookie settings afterwards makes this possible, but this cannot be done before giving a response to the initial consent notice.	No	No	No	Yes	visual effect occurs on-screen		other differences in functionality	Upon rejecting, the user is redirected to either a sign-in or a subscribe page. It is possible to access the site by manually going back to it after doing this, but the site will be 'obstructed' by an annoying consent notice covering the bottom of the page in this case.	consent can be withdrawn through the website		"The website is in French, but the consent notice is presented in English.

The consent notice does contain a visibly highlighted link to the privacy policy, but it cannot be clicked/does not open a webpage."	985.54																												"We and our 268 partners use cookies or equivalent technology to store and/or access information on your device. Other partners use this personal information to present personalized advertising and content to you; to measure advertising and content performance and learn more about their audience; and to develop and improve their products. In order for some of these purposes to work, partners use your accurate location data.

To learn more, please read our privacy policy.

You can change your preferences at any time by clicking on the ""Cookie Settings"" link at the bottom of this site."
